epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,6256.19,1.30639,1.70432,1.56503,0.64603,0.30413,0.32942,0.19538,1.45766,2.37869,2.09816,0.000736438,0.000736438,0.000736438
85,6381.23,1.35292,1.65169,1.61574,0.37029,0.41423,0.38626,0.21601,1.34847,1.84291,1.95704,0.00073025,0.00073025,0.00073025
86,6444.09,1.35874,1.71881,1.59408,0.51186,0.4284,0.38577,0.22442,1.31316,1.75875,1.90069,0.000724062,0.000724062,0.000724062
87,6513.86,1.24158,1.5654,1.52048,0.57055,0.40589,0.42085,0.26992,1.39478,1.75265,1.92856,0.000717875,0.000717875,0.000717875
88,6720.73,1.31253,1.60579,1.52256,0.44934,0.41907,0.36962,0.21306,1.40504,1.79154,1.95096,0.000711687,0.000711687,0.000711687
89,6785.21,1.24203,1.61365,1.52442,0.42402,0.36195,0.38497,0.23924,1.40021,1.723,1.97053,0.0007055,0.0007055,0.0007055
90,6853.16,1.25967,1.48918,1.49793,0.37439,0.39459,0.33788,0.18732,1.56961,1.78415,2.13002,0.000699312,0.000699312,0.000699312
91,6973.42,1.33673,1.68401,1.58342,0.37077,0.42049,0.32995,0.18212,1.48825,1.94423,2.07267,0.000693125,0.000693125,0.000693125
92,7040.95,1.21025,1.50997,1.48749,0.46996,0.43543,0.36784,0.20995,1.41216,1.65285,1.97946,0.000686937,0.000686937,0.000686937
93,7113.96,1.28528,1.51327,1.49694,0.39152,0.42787,0.41713,0.24152,1.45781,1.7393,1.99986,0.00068075,0.00068075,0.00068075
94,7392.22,1.26916,1.54835,1.5099,0.41276,0.44494,0.41379,0.22274,1.48296,1.74952,1.98062,0.000674562,0.000674562,0.000674562
95,7458.4,1.23519,1.51696,1.50925,0.52662,0.41273,0.47746,0.26923,1.39981,1.68542,1.93563,0.000668375,0.000668375,0.000668375
96,7526.92,1.24356,1.56175,1.51485,0.44776,0.47769,0.42601,0.22354,1.3647,1.72642,1.93082,0.000662188,0.000662188,0.000662188
97,7799.68,1.21987,1.46322,1.47314,0.40259,0.54147,0.42127,0.21073,1.39375,1.7573,1.9931,0.000656,0.000656,0.000656
98,7863.72,1.20478,1.47054,1.47765,0.50717,0.45386,0.42805,0.20346,1.46072,1.8898,2.04798,0.000649813,0.000649813,0.000649813
