epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2351.38,1.04933,1.25264,1.28372,0.38103,0.59649,0.41759,0.22399,1.33373,2.09033,1.89783,0.0005075,0.0005075,0.0005075
62,2388.96,1.10641,1.34256,1.34451,0.38288,0.51216,0.40332,0.24816,1.28672,2.05445,1.81975,0.000495125,0.000495125,0.000495125
63,2427.13,1.10929,1.28345,1.30662,0.4358,0.52236,0.42394,0.25732,1.31463,2.0412,1.8545,0.00048275,0.00048275,0.00048275
64,2465.4,1.04866,1.28374,1.32284,0.51143,0.50802,0.46446,0.27074,1.28287,1.85687,1.81869,0.000470375,0.000470375,0.000470375
65,2503.91,1.04381,1.24254,1.2735,0.48524,0.49043,0.47146,0.27857,1.26283,1.8326,1.80475,0.000458,0.000458,0.000458
66,2542.12,1.04663,1.29288,1.30759,0.58907,0.41787,0.44112,0.27989,1.26173,1.91373,1.7857,0.000445625,0.000445625,0.000445625
67,2580.21,0.99345,1.17854,1.27774,0.43992,0.54132,0.43436,0.28273,1.26646,2.05759,1.77279,0.00043325,0.00043325,0.00043325
68,2618.78,1.06966,1.24582,1.28414,0.58148,0.4979,0.4928,0.29966,1.33748,1.86681,1.8833,0.000420875,0.000420875,0.000420875
69,2657.33,1.06494,1.24969,1.285,0.66982,0.45938,0.49505,0.30911,1.21002,1.83977,1.76666,0.0004085,0.0004085,0.0004085
70,2695.31,1.05253,1.25202,1.30233,0.59614,0.54766,0.5083,0.33303,1.15218,1.70123,1.67991,0.000396125,0.000396125,0.000396125
71,2733.98,1.04943,1.22846,1.30734,0.55203,0.53166,0.51333,0.33968,1.15695,1.63835,1.67352,0.00038375,0.00038375,0.00038375
72,2773.52,1.01883,1.16237,1.27503,0.60776,0.5643,0.52869,0.32904,1.17461,1.61748,1.7579,0.000371375,0.000371375,0.000371375
73,2812.65,1.02705,1.21308,1.29518,0.49852,0.57032,0.51295,0.31924,1.20908,1.62478,1.81228,0.000359,0.000359,0.000359
74,2851.53,1.01197,1.18845,1.27421,0.52029,0.53484,0.48657,0.314,1.19839,1.63349,1.79629,0.000346625,0.000346625,0.000346625
75,2890.26,1.05286,1.19553,1.29176,0.60487,0.52964,0.51133,0.33324,1.18949,1.64047,1.78572,0.00033425,0.00033425,0.00033425
76,2928.67,0.98045,1.14228,1.28446,0.59953,0.55983,0.50707,0.31397,1.1944,1.61622,1.76815,0.000321875,0.000321875,0.000321875
